,KeggID,REFERENCE
589,ds:H00773,PMID:23159249
590,ds:H00773,PMID:23644463
591,ds:H00773,PMID:23033978
592,ds:H00773,PMID:20513142
593,ds:H00773,PMID:23746550
594,ds:H00773,PMID:21800092
595,ds:H00773,PMID:24680889
596,ds:H00773,PMID:24791903
597,ds:H00773,PMID:25533962
598,ds:H00773,PMID:25728777
599,ds:H00773,PMID:23832105
600,ds:H00773,PMID:24697219
601,ds:H00773,PMID:25232846
602,ds:H00773,PMID:27108799
603,ds:H00773,PMID:23020937
604,ds:H00773,PMID:28191889
605,ds:H00773,PMID:29100089
606,ds:H00773,PMID:29100083
607,ds:H00773,PMID:29740699
608,ds:H00773,PMID:20952458
609,ds:H00773,PMID:31723249
610,ds:H00773,PMID:33232677
611,ds:H00774,PMID:19005038
612,ds:H00774,PMID:19185186
613,ds:H00774,PMID:20146699
614,ds:H00774,PMID:29253101
615,ds:H00775,PMID:21458376
616,ds:H00775,PMID:20187861
617,ds:H00776,PMID:17397053
618,ds:H00776,PMID:22065086
619,ds:H00776,PMID:21423867
620,ds:H00777,PMID:19110212
621,ds:H00777,PMID:19050402
622,ds:H00777,PMID:19002453
623,ds:H00778,PMID:11545688
624,ds:H00778,PMID:21538686
625,ds:H00779,PMID:20379205
626,ds:H00779,PMID:16374329
627,ds:H00779,PMID:22009552
628,ds:H00779,PMID:19423712
629,ds:H00779,PMID:23023331
630,ds:H00779,PMID:22279524
631,ds:H00779,PMID:29572253
632,ds:H00779,PMID:32455177
633,ds:H00780,PMID:18709303
634,ds:H00780,PMID:21919222
635,ds:H00780,PMID:21747609
636,ds:H00780,PMID:17609203
637,ds:H00781,PMID:19002348
638,ds:H00781,PMID:21143469
639,ds:H00781,PMID:21834823
640,ds:H00782,PMID:19765682
641,ds:H00782,PMID:20159115
642,ds:H00783,PMID:21858011
643,ds:H00783,PMID:16887333
644,ds:H00783,PMID:19201561
645,ds:H00783,PMID:19854599
646,ds:H00783,PMID:22131395
647,ds:H00783,PMID:25362483
648,ds:H00783,PMID:21922598
649,ds:H00784,PMID:12705872
650,ds:H00784,PMID:17392831
651,ds:H00784,PMID:18297070
652,ds:H00784,PMID:17095700
653,ds:H00784,PMID:11564167
654,ds:H00785,PMID:7648037
655,ds:H00785,PMID:16120155
656,ds:H00785,PMID:12445216
657,ds:H00786,PMID:11994181
658,ds:H00786,PMID:20393562
659,ds:H00786,PMID:10793007
660,ds:H00786,PMID:21188418
661,ds:H00786,PMID:19122663
662,ds:H00786,PMID:23099647
663,ds:H00786,PMID:12705872
664,ds:H00786,PMID:17095700
665,ds:H00786,PMID:18297072
666,ds:H00786,PMID:23246290
667,ds:H00786,PMID:21412954
668,ds:H00786,PMID:22592156
669,ds:H00786,PMID:30401459
670,ds:H00787,PMID:20301423
671,ds:H00787,PMID:19896109
672,ds:H00787,PMID:20850105
673,ds:H00787,PMID:22325361
674,ds:H00787,PMID:23246293
675,ds:H00787,PMID:27063057
676,ds:H00787,PMID:21920492
677,ds:H00787,PMID:7670478
678,ds:H00787,PMID:17765441
679,ds:H00788,PMID:14648217
680,ds:H00788,PMID:20205257
681,ds:H00789,PMID:11778802
682,ds:H00789,PMID:20537579
683,ds:H00789,PMID:21976959
684,ds:H00789,PMID:29051577
685,ds:H00790,PMID:9188877
686,ds:H00790,PMID:21738991
687,ds:H00790,PMID:20226437
688,ds:H00790,PMID:21571163
689,ds:H00791,PMID:21929548
690,ds:H00791,PMID:2754051
691,ds:H00791,PMID:21914157
692,ds:H00791,PMID:20451293
693,ds:H00791,PMID:22121283
694,ds:H00791,PMID:15840095
695,ds:H00792,PMID:20967465
696,ds:H00792,PMID:20512159
697,ds:H00792,PMID:21473985
698,ds:H00792,PMID:15216543
699,ds:H00792,PMID:24239381
700,ds:H00793,PMID:21967010
701,ds:H00793,PMID:20618321
702,ds:H00793,PMID:20817924
703,ds:H00793,PMID:15558713
704,ds:H00794,PMID:21470988
705,ds:H00794,PMID:17584767
706,ds:H00794,PMID:12736278
707,ds:H00795,PMID:16751772
708,ds:H00796,PMID:17958818
709,ds:H00796,PMID:20180888
710,ds:H00797,PMID:2738902
711,ds:H00797,PMID:16532399
712,ds:H00797,PMID:17394201
713,ds:H00797,PMID:20967465
714,ds:H00798,PMID:9052822
715,ds:H00798,PMID:9831348
716,ds:H00798,PMID:19756731
717,ds:H00798,PMID:8309582
718,ds:H00798,PMID:32686688
719,ds:H00799,PMID:15968592
720,ds:H00799,PMID:21073448
721,ds:H00800,PMID:21785848
722,ds:H00800,PMID:18544034
723,ds:H00800,PMID:19883511
724,ds:H00800,PMID:21217753
725,ds:H00800,PMID:22772368
726,ds:H00800,PMID:23824657
727,ds:H00801,PMID:18544034
728,ds:H00801,PMID:20301299
729,ds:H00801,PMID:21163914
730,ds:H00801,PMID:11511117
731,ds:H00801,PMID:23910461
732,ds:H00801,PMID:25434006
733,ds:H00801,PMID:26838787
734,ds:H00801,PMID:26854927
735,ds:H00802,PMID:28306229
736,ds:H00802,PMID:18324963
737,ds:H00802,PMID:15566352
738,ds:H00802,PMID:20503305
739,ds:H00802,PMID:29606302
740,ds:H00803,PMID:21088294
741,ds:H00804,PMID:12761039
742,ds:H00804,PMID:17768033
743,ds:H00804,PMID:21051878
744,ds:H00805,PMID:18309337
745,ds:H00805,PMID:18179896
746,ds:H00805,PMID:16043844
747,ds:H00805,PMID:10942434
748,ds:H00805,PMID:12963616
749,ds:H00805,PMID:21072067
750,ds:H00806,PMID:20196795
751,ds:H00806,PMID:21395569
752,ds:H00806,PMID:20371507
753,ds:H00806,PMID:11572947
754,ds:H00807,PMID:15843070
755,ds:H00807,PMID:18754913
756,ds:H00807,PMID:23086396
757,ds:H00808,PMID:15101828
758,ds:H00808,PMID:18754913
759,ds:H00808,PMID:20727515
760,ds:H00808,PMID:15048902
761,ds:H00808,PMID:20196795
762,ds:H00808,PMID:18756473
763,ds:H00808,PMID:15115768
764,ds:H00808,PMID:12612585
765,ds:H00808,PMID:23280796
766,ds:H00808,PMID:24928908
767,ds:H00808,PMID:27352968
768,ds:H00808,PMID:29330545
769,ds:H00809,PMID:21444903
770,ds:H00809,PMID:19469848
771,ds:H00809,PMID:19191227
772,ds:H00809,PMID:21922598
773,ds:H00809,PMID:26046367
774,ds:H00809,PMID:25691535
775,ds:H00810,PMID:20739785
776,ds:H00810,PMID:19469843
777,ds:H00810,PMID:18976727
778,ds:H00810,PMID:21710140
779,ds:H00810,PMID:20301774
780,ds:H00810,PMID:21276947
781,ds:H00810,PMID:21549339
782,ds:H00810,PMID:25401298
783,ds:H00810,PMID:19243074
784,ds:H00810,PMID:25954030
785,ds:H00810,PMID:22961547
786,ds:H00810,PMID:32169168
787,ds:H00810,PMID:33085104
788,ds:H00811,PMID:17103435
789,ds:H00811,PMID:15930940
790,ds:H00811,PMID:19309503
791,ds:H00811,PMID:19571066
792,ds:H00811,PMID:23487782
793,ds:H00811,PMID:24726473
794,ds:H00811,PMID:23261301
795,ds:H00811,PMID:7493032
796,ds:H00811,PMID:20045868
797,ds:H00811,PMID:32707087
798,ds:H00812,PMID:21440359
799,ds:H00812,PMID:18192787
800,ds:H00813,PMID:20438980
801,ds:H00813,PMID:17542886
802,ds:H00813,PMID:8185366
803,ds:H00814,PMID:21269699
804,ds:H00814,PMID:21436265
805,ds:H00814,PMID:18179881
806,ds:H00814,PMID:25085631
807,ds:H00815,PMID:18410979
808,ds:H00815,PMID:18940313
809,ds:H00815,PMID:20199539
810,ds:H00816,PMID:12368912
811,ds:H00816,PMID:8554065
812,ds:H00817,PMID:21634087
813,ds:H00817,PMID:10906521
814,ds:H00817,PMID:3321995
815,ds:H00818,PMID:19959076
816,ds:H00818,PMID:21071978
817,ds:H00818,PMID:20484339
818,ds:H00819,PMID:12789571
819,ds:H00819,PMID:19352439
820,ds:H00819,PMID:20393116
