,KeggID,REFERENCE
446,gn:T00414,PMID:17030793
447,gn:T00415,
448,gn:T00416,PMID:16964242
449,gn:T00416,PMID:12948488
450,gn:T00417,
451,gn:T00418,PMID:23450070
452,gn:T00419,PMID:17030793
453,gn:T00420,PMID:17030793
454,gn:T00421,PMID:24501649
455,gn:T00422,PMID:16936040
456,gn:T00423,PMID:17038625
457,gn:T00424,PMID:16980456
458,gn:T00425,PMID:17293413
459,gn:T00426,PMID:19270083
460,gn:T00427,PMID:19465526
461,gn:T00428,
462,gn:T00429,PMID:17337577
463,gn:T00430,PMID:24416416
464,gn:T00431,PMID:17115055
465,gn:T00432,PMID:17550600
466,gn:T00433,
467,gn:T00434,
468,gn:T00435,PMID:17210928
469,gn:T00436,
470,gn:T00437,
471,gn:T00438,PMID:17303757
472,gn:T00439,
473,gn:T00440,
474,gn:T00441,PMID:17057704
475,gn:T00442,
476,gn:T00443,PMID:21551312
477,gn:T00444,
478,gn:T00445,
479,gn:T00446,PMID:18263724
480,gn:T00447,PMID:17194220
481,gn:T00448,PMID:17107561
482,gn:T00449,
483,gn:T00450,PMID:18460197
484,gn:T00451,
485,gn:T00452,PMID:19737303
486,gn:T00453,
487,gn:T00454,
488,gn:T00455,
489,gn:T00456,
490,gn:T00457,PMID:18446194
491,gn:T00458,PMID:17305430
492,gn:T00459,PMID:19453698
493,gn:T00460,
494,gn:T00461,
495,gn:T00462,PMID:23991253
496,gn:T00463,PMID:17372194
497,gn:T00464,PMID:18159947
498,gn:T00465,PMID:18159947
499,gn:T00466,PMID:18159947
500,gn:T00467,PMID:18159947
501,gn:T00468,PMID:17350933
502,gn:T00469,PMID:17173484
503,gn:T00470,PMID:17158667
504,gn:T00471,
505,gn:T00472,PMID:19495416
506,gn:T00472,PMID:21304657
507,gn:T00473,PMID:17277061
508,gn:T00474,PMID:24295562
509,gn:T00475,PMID:17307855
510,gn:T00476,PMID:18065534
511,gn:T00477,PMID:19495416
512,gn:T00477,PMID:21304656
513,gn:T00478,
514,gn:T00479,
515,gn:T00480,
516,gn:T00481,
517,gn:T00482,
518,gn:T00483,
519,gn:T00484,
520,gn:T00485,PMID:19341479
521,gn:T00485,PMID:21304655
522,gn:T00486,PMID:17344419
523,gn:T00487,PMID:16804543
524,gn:T00488,PMID:18159947
525,gn:T00489,
526,gn:T00490,PMID:17432936
527,gn:T00491,
528,gn:T00492,PMID:17369815
529,gn:T00493,
530,gn:T00494,PMID:20482743
531,gn:T00495,PMID:17895988
532,gn:T00496,PMID:17372208
533,gn:T00497,PMID:17012393
534,gn:T00498,
535,gn:T00499,
536,gn:T00500,PMID:18801193
537,gn:T00501,PMID:17379713
538,gn:T00502,PMID:22675600
539,gn:T00503,
540,gn:T00504,PMID:17563368
541,gn:T00505,PMID:17966401
542,gn:T00506,PMID:18776029
543,gn:T00507,PMID:20485560
544,gn:T00508,PMID:19717629
545,gn:T00509,PMID:18083856
546,gn:T00510,
547,gn:T00511,PMID:18495935
548,gn:T00512,
549,gn:T00513,
550,gn:T00514,PMID:17375201
551,gn:T00515,PMID:17375201
552,gn:T00516,PMID:17540897
553,gn:T00517,PMID:17468768
554,gn:T00518,PMID:19893622
555,gn:T00519,PMID:18218977
556,gn:T00519,PMID:16352836
557,gn:T00520,
558,gn:T00521,
559,gn:T00522,PMID:17517606
560,gn:T00523,
561,gn:T00524,
562,gn:T00525,PMID:19307556
563,gn:T00526,PMID:16857943
564,gn:T00527,
565,gn:T00528,PMID:17540897
566,gn:T00529,PMID:18192381
567,gn:T00530,PMID:17493812
568,gn:T00531,PMID:17483455
569,gn:T00532,PMID:17888731
570,gn:T00533,PMID:17519437
571,gn:T00534,PMID:19436743
572,gn:T00535,
573,gn:T00536,PMID:17511520
574,gn:T00537,
575,gn:T00538,PMID:20833805
576,gn:T00539,PMID:17563350
577,gn:T00540,PMID:18584054
578,gn:T00541,
579,gn:T00542,
580,gn:T00543,PMID:17550610
581,gn:T00544,PMID:17550610
582,gn:T00545,
583,gn:T00546,PMID:17579514
584,gn:T00547,
585,gn:T00548,PMID:17592475
586,gn:T00549,PMID:17579514
587,gn:T00550,PMID:19307556
588,gn:T00551,PMID:27811105
589,gn:T00552,
590,gn:T00553,
591,gn:T00554,
592,gn:T00555,PMID:21304680
593,gn:T00556,PMID:17517606
594,gn:T00557,PMID:17951380
595,gn:T00558,PMID:21118570
596,gn:T00559,PMID:25614562
597,gn:T00560,PMID:17434157
598,gn:T00561,PMID:17722982
599,gn:T00562,PMID:19057647
600,gn:T00563,
601,gn:T00564,PMID:18218779
602,gn:T00565,PMID:17615243
603,gn:T00566,PMID:11677609
604,gn:T00567,
605,gn:T00568,PMID:21685287
606,gn:T00569,PMID:20107499
607,gn:T00570,PMID:17784789
608,gn:T00571,
609,gn:T00572,PMID:17615243
610,gn:T00573,
611,gn:T00574,PMID:18060065
612,gn:T00575,PMID:18060065
613,gn:T00576,
614,gn:T00577,
